time,P
19.299999999999997,-0.146838526050375
19.4,-0.14268042372301074
19.5,-0.1385363684795567
19.599999999999994,-0.13440897861414566
19.699999999999996,-0.1303008724209096
19.799999999999997,-0.1262146681939813
19.9,-0.12215298422749327
20.0,-0.11811843881557804
20.099999999999994,-0.11411352695325178
20.199999999999996,-0.11014025043906325
20.299999999999997,-0.10620048777244546
20.4,-0.10229611745283117
20.5,-0.09842901797965305
20.599999999999994,-0.09460106785234411
20.699999999999996,-0.09081414557033654
20.799999999999997,-0.0870701296330633
20.9,-0.08337089853995716
21.0,-0.07971833079045079
21.099999999999994,-0.07611418330763231
21.199999999999996,-0.07255972670920952
21.299999999999997,-0.06905611003654609
21.4,-0.06560448233100546
21.5,-0.06220599263395106
21.599999999999994,-0.05886178998674655
21.699999999999996,-0.05557302343075488
21.799999999999997,-0.05234084200733972
21.9,-0.049166394757864496
22.0,-0.04605083072369265
22.1,-0.042995188257229255
22.199999999999996,-0.040000062955046295
22.299999999999997,-0.037065939724756775
22.4,-0.034193303473974326
22.5,-0.03138263911031238
22.6,-0.02863443154138437
22.699999999999996,-0.025949165674803907
22.799999999999997,-0.02332732641818403
22.9,-0.02076939867913838
23.0,-0.01827586736528036
23.1,-0.015847124175849426
23.199999999999996,-0.013483187976589255
23.299999999999997,-0.011183984424869026
23.4,-0.008949439178058445
23.5,-0.006779477893527029
23.6,-0.004674026228644304
23.699999999999996,-0.002633009840779941
23.799999999999997,-0.0006563543873031701
23.9,0.0012560144744163393
24.0,0.0031041710870090525
